project,block_time,borrower,asset_symbol,token_amount,usd_value
Aave,2022-04-20T19:34:54+00:00,\xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,WETH,0.3,920.676
Aave,2022-04-20T19:34:54+00:00,\x8fec806c9e94ff7ab2af3d7e4875c2381413f98e,USDC,100000,100112.4
Aave,2022-04-20T19:52:42+00:00,\x95a2b07eb236110719975625cee026ffe2b02799,USDC,140000,140091.84
Aave,2022-04-20T19:58:41+00:00,\xd155ae951285d54a8068d2b5ade9e00eb17e8947,DAI,6000,6004.032
Aave,2022-04-20T19:59:55+00:00,\x9c5c1a5be23ae128f0b2cbd4dfb95774321e3d5c,USDC,149.7055,149.805802685
Aave,2022-04-20T20:01:05+00:00,\x78d2f5de1d6e28e06bcdf77925a7d8720e1af49a,USDT,15000,15012.255
Aave,2022-04-20T20:02:56+00:00,\x6672a66348fb1792767b34fdcfdb2a63c59f37c6,USDC,8920.237912,8927.17785709554
Aave,2022-04-20T20:27:27+00:00,\xa25a9b7c73158b3b34215925796ce6aa8100c13a,USDC,120000,119574.24
Aave,2022-04-20T21:11:03+00:00,\x82c6497d7eef2a22c2dac2b9f1808920dfc7b917,USDC,1032.975908,1028.43597888434
Aave,2022-04-20T21:13:13+00:00,\x97071d3b6f8ccbb6e69de434bd719d8929d55f96,USDC,80000,79648.4
Aave,2022-04-20T21:36:36+00:00,\x97071d3b6f8ccbb6e69de434bd719d8929d55f96,USDC,46000,46005.704
Aave,2022-04-20T21:51:11+00:00,\xcdb478e062c3e1001dcd275858fa795273536135,USDC,2000,2000.134
Aave,2022-04-20T21:51:38+00:00,\xbaf461decb76b95bf5bca8a6284d83e32bf61f50,USDC,5000,5000.335
Aave,2022-04-20T21:53:15+00:00,\x974012d9590ba6014b83c03a93c7b09706e0a469,WETH,867.255848464853,2671364.82723386
Aave,2022-04-20T22:10:25+00:00,\x97071d3b6f8ccbb6e69de434bd719d8929d55f96,USDC,60000,60093.6
Aave,2022-04-20T22:22:36+00:00,\x9623a7dfb605f693c9725278cf78bd2f53f0d407,USDC,100000,100103
Aave,2022-04-20T23:12:03+00:00,\x91a5b96c6ccb3d84dd8e3dc2f093e2694dedae93,GUSD,800,799.2656
Aave,2022-04-20T23:13:51+00:00,\xf13e6802b15c7809244eec7e07793777ffe1d0c8,USDC,80000,80078.88
Aave,2022-04-20T23:17:08+00:00,\xf13e6802b15c7809244eec7e07793777ffe1d0c8,USDC,65000,65054.145
Aave,2022-04-20T23:26:06+00:00,\xae653682dee958914a82c9628de794dcbbee3d04,CRV,200000,466000
Aave,2022-04-20T05:27:50+00:00,\x689209519e78947d52b862748e059fad1238d689,WETH,52.5823286032072,162425.761408735
Aave,2022-04-20T08:41:07+00:00,\x98d54bbf1fa3e74c2ace039d1127dccfb713b63d,WETH,11.58,35902.2846
Aave,2022-04-20T12:13:37+00:00,\x135896de8421be2ec868e0b811006171d9df802a,USDC,45000,45012.69
Aave,2022-04-20T14:18:38+00:00,\x135896de8421be2ec868e0b811006171d9df802a,DAI,16500,16537.9665
Aave,2022-04-20T16:08:13+00:00,\x7c0d3cf3982142eda2b992e9f912ac4dea662258,WBTC,0.15003791,6207.2228757473
Compound,2022-04-20T01:02:07+00:00,\xf6aaada76ea7f044ffa028565b028740dce5389f,USDC,35000,35034.755
Compound,2022-04-20T02:02:22+00:00,\xc47795a89a34723172b267f7faf01113aca7119d,USDC,19900,19918.9249
Compound,2022-04-20T02:22:32+00:00,\x4f01b900452eb8f24ec90d81ef198574ebf5c121,USDC,75000,75032.25
Compound,2022-04-20T05:12:58+00:00,\xf19c3e3eeb001cd03b84053e8c2ddaa6db038c83,USDC,4560,4566.7032
Compound,2022-04-20T05:53:44+00:00,\x4cbed20046780e174b2af950d7f5eb1f3348c6ea,USDC,38400,38399.3088
Compound,2022-04-20T06:19:33+00:00,\xaa6e8127831c9de45ae56bb1b0d4d4da6e5665bd,USDC,11499.681648,11506.3284639925
Compound,2022-04-20T06:40:14+00:00,\x3070f20f86fda706ac380f5060d256028a46ec29,USDC,1000,1000.3
Compound,2022-04-20T06:42:05+00:00,\x4e618a87fd859eeb0a720aca97d3bdebbf0ce212,USDC,73640,73672.91708
Compound,2022-04-20T09:14:23+00:00,\x1d0b7c60f9d5eb42cb2ae9d69f136ee740ed5a8c,USDC,300,300.111
Compound,2022-04-20T09:53:40+00:00,\x048a95f3573612227a6297b0c79f86f6fc3ea443,USDC,56000,56041.608
Compound,2022-04-20T10:47:12+00:00,\x61c643794743e8d7a9fc07990fcd6c46b596db7f,USDC,50,50.0755
Compound,2022-04-20T13:06:07+00:00,\xba19dce4e43fe16671d81b10d6f823d22032b6e2,USDC,1200,1201.344
Compound,2022-04-20T13:49:14+00:00,\xaa6e8127831c9de45ae56bb1b0d4d4da6e5665bd,USDC,161512.043886,161927.129838787
Compound,2022-04-20T13:58:32+00:00,\xaa6e8127831c9de45ae56bb1b0d4d4da6e5665bd,USDC,173946.965658,174405.837753406
Compound,2022-04-20T14:01:02+00:00,\x2acb2d3fa1b0dc3204408ce3edf2b4e5f12671ae,USDC,203777.668187,204304.025903927
Compound,2022-04-20T15:12:11+00:00,\xaa6e8127831c9de45ae56bb1b0d4d4da6e5665bd,USDC,191162.429725,191710.301248592
Compound,2022-04-20T15:24:41+00:00,\xaa6e8127831c9de45ae56bb1b0d4d4da6e5665bd,USDC,186287.504217,186260.865103897
Compound,2022-04-20T15:32:01+00:00,\xaa6e8127831c9de45ae56bb1b0d4d4da6e5665bd,USDC,183071.832731,183498.573173096
Compound,2022-04-20T17:38:43+00:00,\x9dfac9bbe1119da5dcdd7b095db40920cde878ef,USDC,6415,6415.493955
Compound,2022-04-20T18:47:43+00:00,\xb62d1ff4f1c155354075b787e63fdf376e10a881,USDC,17500,17460.45
Compound,2022-04-20T18:56:59+00:00,\xe037cdde28ec42da5be8a5e90617e287a6ebb149,USDC,50000,49872.3
Compound,2022-04-20T19:40:55+00:00,\x41b7fd0d6783b96f9e0a4f0d49946d77c98ff50c,USDC,32000,32021.632
Compound,2022-04-20T22:05:34+00:00,\x4d25890f134878568d94a4fb82ae8729091e5873,USDC,22000,22001.43
Compound,2022-04-20T22:58:55+00:00,\x231a07c825f052b895de5fd1513ce40d18e14af5,USDC,20000,20024.22
Compound,2022-04-20T12:38:31+00:00,\xc319bcfd24e50fcf932c98b43bf7ab10460f7ab2,WETH,0.155,489.6388
Compound,2022-04-20T13:48:49+00:00,\x246ac45817710f526750bdd5c531ab3f14633e64,WETH,35,109269.3
Compound,2022-04-20T14:17:10+00:00,\xaf5e63c7f54ff53e5475f2ff9a60ff3628b1bd61,WETH,5,15586.7
Compound,2022-04-20T16:01:12+00:00,\x818feb1d51e8681a020b2c0df4820071102fdd38,WETH,0.14,430.4076
Compound,2022-04-20T01:09:42+00:00,\xfcc08561b2ac9ccd118f71fcf0e92ebc4139761f,TUSD,4000,4003.748
Compound,2022-04-20T04:09:29+00:00,\x6906041503264a221b8735186056ad89f7a4f04c,USDT,100000,100036.6
Compound,2022-04-20T06:02:37+00:00,\x2c21fa2903d4f8839e8fd6b041c2adf19dbf6540,USDT,38122.15,38144.1083584
Compound,2022-04-20T08:40:00+00:00,\x79635b386b9bd6636cd701879c32e6dd181c853f,DAI,1000,1000.365
Compound,2022-04-20T09:35:39+00:00,\xf16856d2fc5bd6197a539f6dbc9c5dde580707ab,USDT,9368.826516,9374.24169772625
Compound,2022-04-20T09:53:40+00:00,\xfbfcc709abe8ebc1c029238eee6459d2905311a9,USDT,44315,44336.935925
Compound,2022-04-20T10:20:32+00:00,\xf16856d2fc5bd6197a539f6dbc9c5dde580707ab,DAI,2300,2301.6491
Compound,2022-04-20T11:44:00+00:00,\x9d931eeb73378fcea0741988dc0d354ecc577bdd,USDT,2100,2098.5699
Compound,2022-04-20T11:44:32+00:00,\x94d2eda4bf85f0a98c0436da4d05f806acd34958,USDT,10000,9993.19
Compound,2022-04-20T11:50:07+00:00,\x8d7213dc74a13c8e35d92d25c29fc5330887ef78,USDT,40000,39968.04
Compound,2022-04-20T12:42:17+00:00,\xe84a061897afc2e7ff5fb7e3686717c528617487,USDT,2000000,2001682
Compound,2022-04-20T12:46:26+00:00,\xb87736c9c2ddbbab1d6b59955a2d5afb8713c2db,USDT,12900,12911.6229
Compound,2022-04-20T13:45:35+00:00,\xb0e7e4168501b19771a51b4625e3b0a749f447e5,DAI,2400,2405.8152
Compound,2022-04-20T15:10:27+00:00,\xef0d838ba98a22a64a6241cfb0237dafdd7cf4b2,USDT,185000,185634.55
Compound,2022-04-20T16:39:04+00:00,\xcf6ce1174b7ad8b57876b1fc1f2979a63af76aca,USDT,100000,100000.3
Compound,2022-04-20T18:42:40+00:00,\x71a91c9202c8091c62c630ca2de44b333ddcd0d7,USDT,70000,69905.22
Compound,2022-04-20T20:49:56+00:00,\x85efc515a5d54885218ea6822d4de3c317526a1e,USDT,20000,19927.44
Compound,2022-04-20T22:21:10+00:00,\x99e881e9e89152b0add27c367f0761f0fbe5ddc3,DAI,150000,150149.25
Compound,2022-04-20T23:18:26+00:00,\x838025a84c1b64b1d82f0102f6029fbc6c59c8d3,DAI,2850.80954826405,2851.99263422658
MakerDAO,2022-04-20T00:57:02+00:00,\x2ab3fe13eea37c502fa34e6d74b8d3b3dc62954f,DAI,500,500.848
MakerDAO,2022-04-20T00:59:00+00:00,\x2ab3fe13eea37c502fa34e6d74b8d3b3dc62954f,DAI,24500,24541.552
MakerDAO,2022-04-20T01:10:27+00:00,\x220bda5c8994804ac96ebe4df184d25e5c2196d4,DAI,5180000,5187759.64
MakerDAO,2022-04-20T01:15:01+00:00,\x9726c55b0cb4dcfd3a8acf3c7ded770aaa22240e,DAI,4015,4017.42506
MakerDAO,2022-04-20T01:47:44+00:00,\x9c03e1dab3f6c90ef98049e840e2ee55ecd26fcb,DAI,1022608.454517,1023151.45960635
MakerDAO,2022-04-20T01:48:10+00:00,\x9c03e1dab3f6c90ef98049e840e2ee55ecd26fcb,DAI,962167.683851,962678.594891125
MakerDAO,2022-04-20T02:15:17+00:00,\xfbec8b3f0c80faa041eabe70b3b073cecd28e4ea,DAI,810940.112232,811427.487239451
MakerDAO,2022-04-20T03:25:09+00:00,\x1111111254fb6c44bac0bed2854e76f90643097d,DAI,2567885.000005,2569579.804105
