block_time,nft_project_name,platform,evt_type,usd_amount,seller,buyer,original_amount,original_currency,block_number,nft_token_id,tx_hash
2022-04-20T04:57:54+00:00,Terraforms,LooksRare,Trade,1178970.42,\x6f124a460e752eddacaa294800908393a3cad980,\x48ad09ed9a4d3d9b76959f4d53ba0bc138fce336,382,WETH,14619881,1865,\x813c9435536b5c48efbe49e28f910a74701b61a3d766ff7aba9c3e3723333127
2022-04-20T04:58:01+00:00,Totus Tuus,Foundation,Trade,308.631,\x5b5c49d236ef0f43ff6f540a0b9881eadbaf03ed,\x6a883871f2d414564bbf845d8aea856886828717,0.1,ETH,14619883,7,\xdcc69b9b21a9f5f6fa2bf2ba6fef76fb67ee909c88f4c92f8af41443190bc202
2022-04-20T05:00:01+00:00,Luchadores.io,LooksRare,Trade,154.3155,\x2718e86f5793ac08bd3c4a301382e8c1da2a1e30,\x62f56981d431e68b5cab37ae3a242a72824d3ac7,0.05,WETH,14619891,4132,\x20a370777f322bc2c800a5d2bb796283cc44eb532b24ee3dd17d287941f28426
2022-04-20T05:00:01+00:00,Terraforms,LooksRare,Trade,1688211.57,\xa53496b67eec749ac41b4666d63228a0fb0409cf,\xd73e0def01246b650d8a367a4b209be59c8be8ab,547,WETH,14619891,9559,\x0f8a69245205e888f10fb780e72dbc3d148444438a73a6693ebcaa5f6727d991
2022-04-20T05:00:45+00:00,Terraforms,LooksRare,Trade,1154279.94,\x48ad09ed9a4d3d9b76959f4d53ba0bc138fce336,\x6f124a460e752eddacaa294800908393a3cad980,374,WETH,14619893,1865,\x2680417ff9a7287dc209b7898de66a1be64d49d759838f6ed3432d9732d641f5
2022-04-20T05:00:55+00:00,Notorious Frogs,LooksRare,Trade,925.893,\xb96a4ff9cff8a72ff539d8becbaeaf42b148f0e3,\x89193a571118ee7d3c613e2c879bb8559d527b62,0.3,WETH,14619894,2968,\x05e7c957573744fbf6aa532e6b918b2cd88dce79f9c3a3c3f83246867fa712b2
2022-04-20T05:00:55+00:00,Alpha Girl Club,LooksRare,Trade,129.62502,\xddb78a939eb9ebcbeb77c19ec9e5de94c5395d94,\x2fda354091b500f74a89bd991d3ea715274319d4,0.042,WETH,14619894,9098,\xfdf71c8d54c04aa3807fb94f87f62f4c9193c6878d71ffd6cf1f70a7b71b41ff
2022-04-20T05:01:06+00:00,Terraforms,LooksRare,Trade,1654455.12,\xd73e0def01246b650d8a367a4b209be59c8be8ab,\xa53496b67eec749ac41b4666d63228a0fb0409cf,536,WETH,14619895,5283,\xfbb5f4e5cd970f9c34ecbcc40ae69634c5c2fdbc13f8282f38abb604cdddd67c
2022-04-20T05:01:06+00:00,OpenSea Collection,OpenSea,Trade,6.17334,\x01e0cdb40d509a47569ffe57fd39371887fc03d8,\xfdc6c4306cda861d7a75cba8c229a0d26ca63992,0.002,WETH,14619895,849506303287334429986314810191461478459531976886225588469009263641237651457,\x7c67482f950d865db6ce7ca67d5504e452966965c0a3c98931b8fc16284f2d27
2022-04-20T05:02:35+00:00,Terraforms,LooksRare,Trade,1620501.75,\xa53496b67eec749ac41b4666d63228a0fb0409cf,\xd73e0def01246b650d8a367a4b209be59c8be8ab,525,WETH,14619899,9728,\x7a6d4fa3c26e23e0fbe99277cc5215a734e567e43ad4e7b2af1466e95935ea18
