project,version,block_time,block_number,tx_hash,evt_index,borrower,tx_from,asset_address,asset_symbol,token_amount,usd_value
MakerDAO,2,2022-04-20T11:57:31+00:00,14621749,\x1f6e9bd407e1b3658811ef90dd74179da68e1aca845af5d8a4c76691f17f4232,140,\x9c03e1dab3f6c90ef98049e840e2ee55ecd26fcb,\xa8162ebe6170d30219e0e251fca451d454c19f98,\x0000000000085d4780b73119b644ae5ecd22b376,TUSD,-108601.823816683,-108605.190473221
MakerDAO,2,2022-04-20T11:58:43+00:00,14621757,\x269313166e845f6c34e7eecd8732db34dac216fbf288e8d9ddf8c38a222b4eae,232,\xfbec8b3f0c80faa041eabe70b3b073cecd28e4ea,\x996f3914ed86f376dc3c56bcb475eefd4d701802,\x0000000000085d4780b73119b644ae5ecd22b376,TUSD,-95000.7448662507,-95003.6898893415
MakerDAO,2,2022-04-20T12:14:21+00:00,14621843,\x16ad56e9ead05ba269555281bc1e3d80e7b461ad9fa46d09901d42c92ee1eddc,160,\xfbec8b3f0c80faa041eabe70b3b073cecd28e4ea,\x996f3914ed86f376dc3c56bcb475eefd4d701802,\x0000000000085d4780b73119b644ae5ecd22b376,TUSD,-450000,-449904.6
MakerDAO,2,2022-04-20T13:05:42+00:00,14622085,\x492ac8d018ff854fe3bcf5339bc4364c70eab24a0ad2412e0b3a684b10ede910,196,\x9c03e1dab3f6c90ef98049e840e2ee55ecd26fcb,\xa8162ebe6170d30219e0e251fca451d454c19f98,\x0000000000085d4780b73119b644ae5ecd22b376,TUSD,-450000,-450692.55
MakerDAO,2,2022-04-20T14:02:44+00:00,14622340,\xdc5e24e844a9f1e45f371940ae73ce50a4d6026b69de64370bee33afd103afaa,19,\x3f821488575a92a42add5c914790d67d9c6f922e,\x197475c50a90b591972f62820a33b869ccebeb5a,\x0000000000085d4780b73119b644ae5ecd22b376,TUSD,-2078065.47356025,-2083271.02757152
MakerDAO,2,2022-04-20T15:17:47+00:00,14622646,\xf4e4739a5087690e40876333c7aa1a061f34d4dfef4e3264da83d8ede996c5e5,70,\x9c03e1dab3f6c90ef98049e840e2ee55ecd26fcb,\xa8162ebe6170d30219e0e251fca451d454c19f98,\x0000000000085d4780b73119b644ae5ecd22b376,TUSD,-434978.519730578,-436743.227585125
MakerDAO,2,2022-04-20T16:08:13+00:00,14622868,\x3fbf8e36fb4d9b0a3683f87dc345e51db2800e9930aeca278063b1cedbd49e29,298,\x3f821488575a92a42add5c914790d67d9c6f922e,\x197475c50a90b591972f62820a33b869ccebeb5a,\x0000000000085d4780b73119b644ae5ecd22b376,TUSD,-3329037.63407039,-3339833.70311768
MakerDAO,2,2022-04-20T19:16:03+00:00,14623733,\x0ba17fee91638592b209bcddaf685362fc6628fed03aa8e868c47e8e7e99d7e6,41,\xdb9c76109d102d2a1e645dca3a7e671ebfd8e11a,\x0df9490d983c890933167e9be97ffe3d4d6893ad,\x0000000000085d4780b73119b644ae5ecd22b376,TUSD,-12027.2334783852,-11995.4094186014
MakerDAO,2,2022-04-20T05:04:52+00:00,14619915,\xb64d279daebd78bdf0a20a04bcc4d6f7a03ea4a6890d23da0c74a089bb2da7c3,24,\x7afc00324d0b0981dd9956438d0fe8aedbe77453,\x3d5569d3e5f4ebd45a1fb243d479d174c83f583f,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,-2000,-6173340
MakerDAO,2,2022-04-20T08:04:32+00:00,14620725,\x4d3998d551537db8262dff5bd089471a712ca68ddd53e8dba0d1beceba33bd6b,178,\xe69c9af6bac453a7ce050abfff1577c00a5e5621,\xf318b7964549cf3b3f1076a8d795c3ebbc231b01,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,-7.8,-24126.96
MakerDAO,2,2022-04-20T10:57:27+00:00,14621484,\x8d0c31c02b4f9a64124533a078daec6a561b458292c0f4b3ec63319e45df1b14,231,\x9ee4d226a35f019467aad74ee4977ebd7d997666,\x14ae683317d9d27957f56c78e9308e7d54bc3b36,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,-6,-18763.08
MakerDAO,2,2022-04-20T11:23:43+00:00,14621591,\xf1e8ad91e0cf78053adaae4f1db57fe64c0ff3df813bb746e940aaf45a09b64e,160,\x2a49eae5cca3f050ebec729cf90cc910fadaf7a2,\xfdb5deea2a5309af6d4abcd5f9f2aaa77a61a480,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,-14.9273251927245,-46625.7987859788
MakerDAO,2,2022-04-20T15:35:33+00:00,14622736,\x56579f3a034ce6954b99dc27fe686da207a3cb815468dfde678dcd5d5bc2334a,716,\x2a49eae5cca3f050ebec729cf90cc910fadaf7a2,\x903d149c6c3369de74532aae2eb08ecde325fe73,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,-4.15287390933317,-12740.3111652696
MakerDAO,2,2022-04-20T16:08:42+00:00,14622870,\xb187378ac60e6f71e757557c3d6e47f37d11757dc871c760aa413e4edd048cfb,19,\x2a49eae5cca3f050ebec729cf90cc910fadaf7a2,\x82e6dcdf004e9699797a59a3aba736c0535cc32f,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,-381.496816223283,-1173037.85542784
MakerDAO,2,2022-04-20T20:04:31+00:00,14623945,\x1f0bc58e3921910d1a2e16f2d121045950b82df8d991d4b5d2eb3309b51be883,34,\xbc12bc3cdcae9e48902fd3ef7cf85a871adc9791,\x5aeb45287dd2101f9b702263751b48fe5d505668,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,-1.38889096190104,-4270.02026217818
MakerDAO,2,2022-04-20T20:04:31+00:00,14623945,\x1f0bc58e3921910d1a2e16f2d121045950b82df8d991d4b5d2eb3309b51be883,9,\xbc12bc3cdcae9e48902fd3ef7cf85a871adc9791,\x5aeb45287dd2101f9b702263751b48fe5d505668,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,-6.79044588809896,-20876.6147428303
