block_time,token_a_symbol,token_b_symbol,token_a_amount,token_b_amount,project,category,usd_amount,trader_a
2022-04-20T00:09:11+00:00,FXS,FRAX,400,13568.4102860128,Matcha,Aggregator,13724,\x635a10bc282c9ceed755d185809f753daa086bf3
2022-04-20T00:09:11+00:00,APE,WETH,12393.3618826666,53.581019401619,Uniswap,DEX,165947.115608905,\x56178a0d5f301baf6cf3e1cd53d9863437345bf9
2022-04-20T00:09:11+00:00,MANA,WETH,11686.7957441646,8.15941904170855,Uniswap,DEX,25360.3467648371,\x0f4ee9631f4be0a63756515141281a3e2b293bbe
2022-04-20T00:09:11+00:00,LUNA,WETH,105.34528,3.22845554184885,Uniswap,DEX,10006.5656674051,\x000000000dfde7deaf24138722987c9a6991e2d4
2022-04-20T00:09:11+00:00,FRAX,FXS,13568.4102860128,400,Uniswap,DEX,13546.4973034009,\x635a10bc282c9ceed755d185809f753daa086bf3
2022-04-20T00:09:37+00:00,WETH,USDT,4.81101916868393,14895.608234,0x Native,DEX,14911.7058031442,\xdef171fe48cf0115b1d80b88dc8eab59176fee57
2022-04-20T00:09:37+00:00,XDEFI,WETH,10298.6778594181,3.62803160538685,1inch,Aggregator,11245.0476805805,\x0d9326f283d8ca7eeea4d323d07a0c9c0ab1a192
2022-04-20T00:09:37+00:00,ENJ,BNT,9049.97051886792,5989.97968963999,Bancor Network,DEX,13755.9551886792,\xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf
2022-04-20T00:09:37+00:00,WETH,XDEFI,4.81101916868393,13710.7456,Sushiswap,DEX,14911.7058031442,\xdef171fe48cf0115b1d80b88dc8eab59176fee57
2022-04-20T00:09:37+00:00,XDEFI,WETH,10298.6778594181,3.62803160538685,Sushiswap,DEX,11245.0476805805,\x0d9326f283d8ca7eeea4d323d07a0c9c0ab1a192
2022-04-20T00:09:37+00:00,ENJ,WETH,6581.97563072524,3.22845554184885,Uniswap,DEX,10004.6029587024,\x000000000dfde7deaf24138722987c9a6991e2d4
2022-04-20T00:09:43+00:00,SYN,ETH,37994.8250346925,42,1inch,Aggregator,128042.560366914,\x0965506ac3e379302fa79e2e03fb668de4edf638
2022-04-20T00:09:43+00:00,WETH,SYN,33.133525067553,30113.6967753511,Sushiswap,DEX,101483.158132933,\x00000000003b3cc22af3ae1eac0440bcee416b40
2022-04-20T00:09:43+00:00,WETH,SYN,3.82644185018804,3497.3878720075,Sushiswap,DEX,11786.1971286653,\x00000000c2cf7648c169b25ef1c217864bfa38cc
2022-04-20T00:09:43+00:00,SYN,WETH,30113.6967615497,32.90985464693,Sushiswap,DEX,101483.158086422,\x00000000003b3cc22af3ae1eac0440bcee416b40
2022-04-20T00:09:43+00:00,SYN,WETH,37994.8250346925,42,Sushiswap,DEX,128042.560366914,\x0965506ac3e379302fa79e2e03fb668de4edf638
2022-04-20T00:09:43+00:00,WETH,USDT,21.917188261148,67874.4,Uniswap,DEX,67932.1058435458,\x8aff5ca996f77487a4f04f1ce905bf3d27455580
2022-04-20T00:09:43+00:00,USDC,WETH,11375.186247,3.67579455047858,Uniswap,DEX,11378.1892961692,\xddf6353d3341527033773a7bfacb78f4f1e26244
2022-04-20T00:09:43+00:00,SYN,FRAX,3497.3878720075,11713.7320350334,Uniswap,DEX,11786.1971286653,\x4a86c01d67965f8cb3d0aaa2c655705e64097c31
2022-04-20T00:09:43+00:00,FXS,FRAX,879.196098911664,30009.606,Uniswap,DEX,30165.2181536592,\x000000000dfde7deaf24138722987c9a6991e2d4
2022-04-20T00:10:12+00:00,WETH,SYN,13.5625447185899,12429.2630287423,Sushiswap,DEX,41886.6164068614,\xc7ee7c66636f407586afa431c19a916e04928942
2022-04-20T00:10:12+00:00,USDC,WETH,41777.483367,13.5005642763729,Uniswap,DEX,41788.5126226089,\xc63b0708e2f7e69cb8a1df0e1389a98c35a76d52
2022-04-20T00:10:12+00:00,FRAX,USDC,41761.3406616537,41777.483367,Uniswap,DEX,41686.62962321,\x9fae36a18ef8ac2b43186ade5e2b07403dc742b1
2022-04-20T00:10:12+00:00,WETH,USDC,138.476846878945,429064.2,Uniswap,DEX,429207.60213282,\x8aff5ca996f77487a4f04f1ce905bf3d27455580
2022-04-20T00:10:12+00:00,SYN,FRAX,12429.2630287423,41761.3406616537,Uniswap,DEX,41886.6164068614,\x4a86c01d67965f8cb3d0aaa2c655705e64097c31
2022-04-20T00:10:17+00:00,USDC,OIL,11673.96434,40567.2022724479,1inch,Aggregator,11677.0462665858,\x1897ecfc9df8ca7f360d271c84e3d8567460202d
2022-04-20T00:10:17+00:00,ETH,APE,4.95743476210002,1152.43438300921,1inch,Aggregator,15358.2816160287,\x2942d284c8ccf26eed5de9f7c03ce224adcd8641
2022-04-20T00:10:17+00:00,YGG,WETH,4809.07051306507,3.22516439,Sushiswap,DEX,10002.8666671753,\x0000006daea1723962647b7e189d311d757fb793
